League,Source file,Division,Team,Home,Arena,0,1,2,3,4,5,6,7,8,9,10,Conference,City,Centre,Joined
Ontario Junior Hockey League,Ontario_Junior_Hockey_League.html,,,,,,"East Conference Team Centre Joined Aurora Tigers Aurora, Ontario 1997 Cobourg Cougars Cobourg, Ontario 1992 Haliburton County Huskies Haliburton, Ontario 1998 Lindsay Muskies Lindsay, Ontario 1989 Markham Royals Markham, Ontario 1993 Newmarket Hurricanes Newmarket, Ontario 2025 North York Rangers Toronto, Ontario 1998 Pickering Panthers Pickering, Ontario 1998 St. Michael's Buzzers Toronto, Ontario 1995 Stouffville Spirit Stouffville, Ontario 1995 Trenton Golden Hawks Trenton, Ontario 1998 Wellington Dukes Wellington, Ontario 1998 West Conference Team Centre Joined Buffalo Jr. Sabres Buffalo, New York 1971 Burlington Cougars Burlington, Ontario 1971 Caledon Admirals Caledon, Ontario 1998 Collingwood Blues Collingwood, Ontario 1995 Georgetown Raiders Georgetown, Ontario 1975 King Rebellion King Township, Ontario 1971 Leamington Flyers Leamington, Ontario 2023 Milton Menace Milton, Ontario 1987 Mississauga Chargers Mississauga, Ontario 1995 Niagara Falls Canucks Niagara Falls, Ontario 2023 Oakville Blades Oakville, Ontario 1971 Toronto Patriots Toronto, Ontario 1998",,,,,,,,,,,,,
Ontario Junior Hockey League,Ontario_Junior_Hockey_League.html,,,,,East Conference,East Conference,East Conference,East Conference,East Conference,East Conference,East Conference,East Conference,East Conference,East Conference,East Conference,,,,
Ontario Junior Hockey League,Ontario_Junior_Hockey_League.html,,,,,Team,Centre,Joined,,,,,,,,,,,,
Ontario Junior Hockey League,Ontario_Junior_Hockey_League.html,,,,,Aurora Tigers,"Aurora, Ontario",1997,,,,,,,,,,,,
Ontario Junior Hockey League,Ontario_Junior_Hockey_League.html,,,,,Cobourg Cougars,"Cobourg, Ontario",1992,,,,,,,,,,,,
Ontario Junior Hockey League,Ontario_Junior_Hockey_League.html,,,,,Haliburton County Huskies,"Haliburton, Ontario",1998,,,,,,,,,,,,
Ontario Junior Hockey League,Ontario_Junior_Hockey_League.html,,,,,Lindsay Muskies,"Lindsay, Ontario",1989,,,,,,,,,,,,
Ontario Junior Hockey League,Ontario_Junior_Hockey_League.html,,,,,Markham Royals,"Markham, Ontario",1993,,,,,,,,,,,,
Ontario Junior Hockey League,Ontario_Junior_Hockey_League.html,,,,,Newmarket Hurricanes,"Newmarket, Ontario",2025,,,,,,,,,,,,
Ontario Junior Hockey League,Ontario_Junior_Hockey_League.html,,,,,North York Rangers,"Toronto, Ontario",1998,,,,,,,,,,,,
Ontario Junior Hockey League,Ontario_Junior_Hockey_League.html,,,,,Pickering Panthers,"Pickering, Ontario",1998,,,,,,,,,,,,
Ontario Junior Hockey League,Ontario_Junior_Hockey_League.html,,,,,St. Michael's Buzzers,"Toronto, Ontario",1995,,,,,,,,,,,,
Ontario Junior Hockey League,Ontario_Junior_Hockey_League.html,,,,,Stouffville Spirit,"Stouffville, Ontario",1995,,,,,,,,,,,,
Ontario Junior Hockey League,Ontario_Junior_Hockey_League.html,,,,,Trenton Golden Hawks,"Trenton, Ontario",1998,,,,,,,,,,,,
